OPP,Result,T Score,LAST_N_3PTM,LAST_N_PTS,SEASON_AVG,PTS
MIN,1,106,3.3333333333333335,21.22222222222222,23.375,17
ATL,1,92,2.888888888888889,20.666666666666668,23.296296296296298,12
DEN,0,101,2.5555555555555554,19.22222222222222,23.158536585365855,19
LAL,0,77,2.5555555555555554,19.11111111111111,23.10843373493976,18
CLE,1,106,2.3333333333333335,18.88888888888889,23.047619047619047,21
SAC,0,92,2.0,19.0,23.023529411764706,12
LAC,1,114,2.0,19.666666666666668,22.8953488372093,23
MEM,0,94,2.0,19.444444444444443,22.896551724137932,26
PHX,1,87,2.3333333333333335,18.88888888888889,22.931818181818183,5
LAC,1,100,3.0,33.0,33.0,24
LAC,0,103,2.5,28.5,28.5,17
LAC,1,118,3.0,24.666666666666668,24.666666666666668,33
LAC,0,96,4.0,26.75,26.75,16
LAC,0,98,3.8,24.6,24.6,24
LAC,1,109,3.3333333333333335,24.5,24.5,14
MIN,1,130,3.142857142857143,23.0,23.0,32
POR,0,117,3.625,24.125,24.125,47
LAL,1,112,4.0,26.666666666666668,26.666666666666668,30
DEN,0,99,4.111111111111111,26.333333333333332,27.0,24
UTA,1,130,4.111111111111111,26.333333333333332,26.727272727272727,31
SAC,1,102,4.222222222222222,27.88888888888889,27.083333333333332,13
SAS,0,90,3.6666666666666665,25.666666666666668,26.0,11
DAL,1,122,3.4444444444444446,25.11111111111111,24.928571428571427,23
NYK,0,84,3.6666666666666665,25.0,24.8,32
MEM,1,100,4.111111111111111,27.0,25.25,33
SAS,0,90,3.888888888888889,27.11111111111111,25.705882352941178,20
MIL,1,115,3.2222222222222223,24.11111111111111,25.38888888888889,31
ORL,1,103,3.111111111111111,24.22222222222222,25.68421052631579,23
POR,1,113,3.2222222222222223,24.11111111111111,25.55,37
CLE,0,94,3.3333333333333335,24.77777777777778,26.095238095238095,27
LAC,0,98,3.6666666666666665,26.333333333333332,26.136363636363637,13
DAL,1,108,3.7777777777777777,26.555555555555557,25.565217391304348,10
PHX,1,113,3.5555555555555554,25.11111111111111,24.916666666666668,18
ATL,1,111,3.0,23.555555555555557,24.64,13
BOS,1,108,2.5555555555555554,21.333333333333332,24.192307692307693,14
IND,1,98,2.5555555555555554,20.666666666666668,23.814814814814813,19
TOR,0,98,2.4444444444444446,19.333333333333332,23.642857142857142,34
NYK,1,126,2.5555555555555554,20.555555555555557,24.0,27
CHI,0,83,2.4444444444444446,19.444444444444443,24.1,5
DET,1,104,2.0,17.0,23.483870967741936,19
BKN,1,93,2.111111111111111,17.666666666666668,23.34375,17
HOU,1,102,2.3333333333333335,18.444444444444443,23.151515151515152,25
SAC,1,101,2.7777777777777777,19.22222222222222,23.205882352941178,13
MIA,0,110,2.7777777777777777,19.22222222222222,22.914285714285715,29
PHI,1,123,3.111111111111111,20.88888888888889,23.083333333333332,23
PHX,0,109,3.5555555555555554,21.333333333333332,23.08108108108108,28
CHI,1,102,3.4444444444444446,20.666666666666668,23.210526315789473,34
CHA,0,75,3.3333333333333335,21.444444444444443,23.487179487179485,17
UTA,1,95,3.3333333333333335,22.77777777777778,23.325,44
LAC,1,111,3.888888888888889,25.555555555555557,23.829268292682926,22
WSH,0,85,4.0,26.11111111111111,23.785714285714285,23
POR,1,103,3.6666666666666665,25.88888888888889,23.767441860465116,38
MIN,0,120,4.111111111111111,28.666666666666668,24.09090909090909,33
IND,0,94,4.333333333333333,29.11111111111111,24.288888888888888,24
NOP,1,97,4.0,29.22222222222222,24.282608695652176,28
OKC,0,121,3.888888888888889,29.22222222222222,24.361702127659573,37
DEN,0,116,4.111111111111111,29.555555555555557,24.625,24
BOS,1,99,4.444444444444445,30.333333333333332,24.612244897959183,19
BKN,0,98,3.888888888888889,27.555555555555557,24.5,34
MIL,1,101,3.6666666666666665,28.88888888888889,24.686274509803923,15
WSH,1,112,3.6666666666666665,28.0,24.5,14
