OPP,Result,T Score,LAST_N_3PTM,LAST_N_PTS,SEASON_AVG,PTS,ORDER
BKN,0,117,4.111111111111111,27.22222222222222,33.52777777777778,27,19
ORL,1,111,4.222222222222222,28.666666666666668,33.351351351351354,40,20
SAS,1,114,4.777777777777778,29.22222222222222,33.526315789473685,32,6
SAS,0,100,5.0,31.0,33.48717948717949,32,6
DAL,0,132,5.333333333333333,31.33333333333333,33.45,57,13
DAL,1,147,6.444444444444445,35.0,34.02439024390244,28,13
BOS,0,107,6.111111111111111,34.0,33.88095238095238,38,18
DET,1,118,6.222222222222222,35.0,33.97674418604651,28,9
PHX,0,93,6.333333333333333,35.333333333333336,33.84090909090909,27,4
MIN,1,123,6.111111111111111,34.333333333333336,33.68888888888889,16,21
MIN,1,130,6.333333333333333,33.111111111111114,33.30434782608695,36,21
UTA,0,108,6.0,32.666666666666664,33.361702127659576,24,12
NYK,0,104,6.111111111111111,31.77777777777778,33.166666666666664,30,24
SAS,1,121,6.0,31.55555555555556,33.10204081632653,26,6
LAL,1,115,5.222222222222222,28.11111111111111,32.96,26,3
DEN,0,104,5.111111111111111,27.88888888888889,32.8235294117647,35,11
IND,0,95,4.888888888888889,27.55555555555556,32.86538461538461,20,1
TOR,1,106,4.555555555555555,26.666666666666668,32.62264150943396,11,28
LAC,1,115,4.111111111111111,24.88888888888889,32.22222222222222,38,15
LAC,0,101,4.666666666666667,27.33333333333333,32.32727272727273,13,15
SAC,1,137,4.0,24.77777777777778,31.982142857142858,30,8
POR,1,137,4.0,25.444444444444443,31.94736842105263,62,29
POR,0,98,4.333333333333333,29.0,32.46551724137931,26,29
DET,1,116,4.333333333333333,29.0,32.355932203389834,31,9
CHI,1,129,4.555555555555555,29.55555555555556,32.333333333333336,36,5
MIL,0,99,4.555555555555555,29.666666666666668,32.39344262295082,19,2
BKN,0,99,4.444444444444445,29.55555555555556,32.17741935483871,20,19
MEM,0,112,4.555555555555555,30.55555555555556,31.984126984126984,39,16
LAL,0,100,4.222222222222222,30.666666666666668,32.09375,37,3
SAC,1,113,4.777777777777778,33.333333333333336,32.16923076923077,29,8
SAC,0,113,4.888888888888889,33.22222222222222,32.121212121212125,29,8
DEN,1,107,4.555555555555555,29.55555555555556,32.07462686567164,10,11
