OPP,Result,T Score,LAST_N_3PTM,LAST_N_PTS,SEASON_AVG,PTS,ORDER
POR,1,103,3.7777777777777777,23.11111111111111,24.35185185185185,22,29
MEM,0,87,4.0,24.77777777777778,24.30909090909091,24,16
LAC,0,89,3.7777777777777777,24.22222222222222,24.303571428571427,10,15
LAC,1,115,3.7777777777777777,23.444444444444443,24.05263157894737,31,15
BOS,1,101,3.888888888888889,24.0,24.17241379310345,22,18
PHI,1,96,4.0,24.11111111111111,24.135593220338983,11,10
UTA,1,94,3.7777777777777777,21.88888888888889,23.916666666666668,23,12
LAL,0,115,3.555555555555556,21.33333333333333,23.901639344262296,20,3
CHA,1,115,3.6666666666666665,21.33333333333333,23.83870967741936,27,25
SAC,0,127,3.7777777777777777,21.11111111111111,23.88888888888889,32,8
NOP,1,103,4.222222222222222,22.22222222222222,24.015625,13,26
ATL,1,115,3.888888888888889,21.0,23.846153846153847,18,7
ORL,0,85,4.111111111111111,21.88888888888889,23.75757575757576,25,20
MIA,1,97,3.6666666666666665,21.22222222222222,23.776119402985078,9,22
CHA,1,104,3.333333333333333,19.77777777777778,23.558823529411764,27,25
WSH,1,101,3.6666666666666665,21.55555555555556,23.608695652173918,22,27
BKN,1,109,3.4444444444444446,21.444444444444443,23.585714285714285,28,19
DET,1,104,3.6666666666666665,22.33333333333333,23.64788732394366,22,9
ORL,0,94,3.2222222222222223,21.77777777777778,23.625,25,20
IND,1,103,2.7777777777777777,21.0,23.64383561643836,20,1
DEN,1,106,3.0,21.77777777777778,23.594594594594597,20,11
MIN,1,96,3.111111111111111,22.0,23.546666666666667,20,21
DEN,0,91,3.4444444444444446,21.444444444444443,23.5,6,11
BKN,1,102,3.555555555555556,21.11111111111111,23.272727272727277,25,19
DAL,1,105,3.333333333333333,20.88888888888889,23.2948717948718,31,13
OKC,0,109,3.4444444444444446,21.88888888888889,23.39240506329114,22,23
MIN,1,106,3.333333333333333,21.22222222222222,23.375,17,21
ATL,1,92,2.888888888888889,20.666666666666668,23.296296296296298,12,7
DEN,0,101,2.555555555555556,19.22222222222222,23.15853658536585,19,11
LAL,0,77,2.555555555555556,19.11111111111111,23.10843373493976,18,3
CLE,1,106,2.333333333333333,18.88888888888889,23.047619047619047,21,17
SAC,0,92,2.0,19.0,23.023529411764702,12,8
LAC,1,114,2.0,19.666666666666668,22.8953488372093,23,15
MEM,0,94,2.0,19.444444444444443,22.89655172413793,26,16
PHX,1,87,2.333333333333333,18.88888888888889,22.931818181818183,5,4
LAC,1,100,3.0,33.0,33.0,24,15
LAC,0,103,2.5,28.5,28.5,17,15
LAC,1,118,3.0,24.666666666666668,24.666666666666668,33,15
LAC,0,96,4.0,26.75,26.75,16,15
LAC,0,98,3.8,24.6,24.6,24,15
LAC,1,109,3.333333333333333,24.5,24.5,14,15
MIN,1,130,3.142857142857143,23.0,23.0,32,21
POR,0,117,3.625,24.125,24.125,47,29
LAL,1,112,4.0,26.666666666666668,26.666666666666668,30,3
DEN,0,99,4.111111111111111,26.33333333333333,27.0,24,11
UTA,1,130,4.111111111111111,26.33333333333333,26.727272727272727,31,12
SAC,1,102,4.222222222222222,27.88888888888889,27.08333333333333,13,8
SAS,0,90,3.6666666666666665,25.666666666666668,26.0,11,6
DAL,1,122,3.4444444444444446,25.11111111111111,24.928571428571427,23,13
NYK,0,84,3.6666666666666665,25.0,24.8,32,24
MEM,1,100,4.111111111111111,27.0,25.25,33,16
SAS,0,90,3.888888888888889,27.11111111111111,25.705882352941178,20,6
MIL,1,115,3.2222222222222223,24.11111111111111,25.38888888888889,31,2
ORL,1,103,3.111111111111111,24.22222222222222,25.68421052631579,23,20
POR,1,113,3.2222222222222223,24.11111111111111,25.55,37,29
CLE,0,94,3.333333333333333,24.77777777777778,26.09523809523809,27,17
LAC,0,98,3.6666666666666665,26.33333333333333,26.13636363636364,13,15
DAL,1,108,3.7777777777777777,26.55555555555556,25.565217391304348,10,13
PHX,1,113,3.555555555555556,25.11111111111111,24.916666666666668,18,4
ATL,1,111,3.0,23.55555555555556,24.64,13,7
BOS,1,108,2.555555555555556,21.33333333333333,24.192307692307693,14,18
IND,1,98,2.555555555555556,20.666666666666668,23.814814814814813,19,1
TOR,0,98,2.4444444444444446,19.33333333333333,23.642857142857142,34,28
NYK,1,126,2.555555555555556,20.55555555555556,24.0,27,24
CHI,0,83,2.4444444444444446,19.444444444444443,24.1,5,5
DET,1,104,2.0,17.0,23.483870967741936,19,9
BKN,1,93,2.111111111111111,17.666666666666668,23.34375,17,19
HOU,1,102,2.333333333333333,18.444444444444443,23.151515151515152,25,14
SAC,1,101,2.7777777777777777,19.22222222222222,23.205882352941178,13,8
MIA,0,110,2.7777777777777777,19.22222222222222,22.914285714285715,29,22
PHI,1,123,3.111111111111111,20.88888888888889,23.08333333333333,23,10
PHX,0,109,3.555555555555556,21.33333333333333,23.08108108108108,28,4
CHI,1,102,3.4444444444444446,20.666666666666668,23.210526315789476,34,5
CHA,0,75,3.333333333333333,21.444444444444443,23.487179487179485,17,25
UTA,1,95,3.333333333333333,22.77777777777778,23.325,44,12
LAC,1,111,3.888888888888889,25.55555555555556,23.82926829268293,22,15
WSH,0,85,4.0,26.11111111111111,23.785714285714285,23,27
POR,1,103,3.6666666666666665,25.88888888888889,23.76744186046512,38,29
MIN,0,120,4.111111111111111,28.666666666666668,24.09090909090909,33,21
IND,0,94,4.333333333333333,29.11111111111111,24.288888888888888,24,1
NOP,1,97,4.0,29.22222222222222,24.282608695652176,28,26
OKC,0,121,3.888888888888889,29.22222222222222,24.361702127659573,37,23
DEN,0,116,4.111111111111111,29.55555555555556,24.625,24,11
BOS,1,99,4.444444444444445,30.33333333333333,24.612244897959183,19,18
BKN,0,98,3.888888888888889,27.55555555555556,24.5,34,19
MIL,1,101,3.6666666666666665,28.88888888888889,24.686274509803923,15,2
WSH,1,112,3.6666666666666665,28.0,24.5,14,27
ATL,1,101,3.2222222222222223,25.33333333333333,24.30188679245283,22,7
MIA,1,123,2.6666666666666665,24.11111111111111,24.25925925925926,36,22
ORL,1,94,3.2222222222222223,25.444444444444443,24.472727272727276,9,20
CLE,1,108,3.111111111111111,23.33333333333333,24.196428571428573,29,17
PHX,1,115,3.0,22.444444444444443,24.28070175438597,14,4
LAC,1,105,2.6666666666666665,21.33333333333333,24.103448275862068,15,15
DEN,1,89,2.555555555555556,20.88888888888889,23.94915254237288,14,11
LAL,1,102,2.555555555555556,18.666666666666668,23.78333333333333,18,3
SAS,0,102,2.7777777777777777,19.0,23.688524590163933,30,6
NOP,1,104,3.333333333333333,20.77777777777778,23.79032258064516,28,26
PHX,0,102,3.4444444444444446,21.444444444444443,23.857142857142858,30,4
HOU,0,112,3.0,20.77777777777778,23.953125,20,14
DAL,1,95,3.0,22.0,23.892307692307693,33,13
CHA,0,111,3.111111111111111,22.444444444444443,24.03030303030303,43,25
MEM,1,108,3.555555555555556,25.666666666666668,24.31343283582089,22,16
HOU,0,83,3.555555555555556,26.444444444444443,24.279411764705884,22,14
TOR,1,112,3.4444444444444446,27.33333333333333,24.246376811594203,27,28
SAC,1,115,3.333333333333333,28.33333333333333,24.285714285714285,36,8
OKC,0,112,3.2222222222222223,29.0,24.450704225352112,32,23
DAL,0,99,3.4444444444444446,29.444444444444443,24.55555555555556,29,13
NOP,1,102,3.6666666666666665,29.33333333333333,24.616438356164384,16,26
POR,0,101,3.7777777777777777,28.88888888888889,24.5,22,29
UTA,1,98,3.333333333333333,27.666666666666668,24.466666666666665,22,12
UTA,1,102,3.2222222222222223,25.33333333333333,24.43421052631579,15,12
OKC,1,116,3.0,24.55555555555556,24.31168831168831,22,23
DET,1,113,3.333333333333333,24.55555555555556,24.28205128205128,25,9
MEM,0,90,3.2222222222222223,24.33333333333333,24.29113924050633,22,16
MIN,1,106,3.111111111111111,22.77777777777778,24.2625,5,21
PHI,1,110,2.6666666666666665,19.77777777777778,24.02469135802469,18,10
SAC,1,98,2.2222222222222223,18.55555555555556,23.951219512195124,22,8
LAC,0,115,2.555555555555556,19.22222222222222,23.927710843373493,38,15
LAL,1,125,3.333333333333333,21.0,24.09523809523809,10,3
CLE,1,104,3.0,25.0,25.0,37,17
CLE,1,103,5.0,31.0,31.0,22,17
CLE,0,91,4.666666666666667,28.0,28.0,27,17
CLE,0,93,5.25,27.75,27.75,19,17
CLE,1,108,4.6,26.0,26.0,26,17
HOU,1,104,4.166666666666667,26.0,26.0,26,14
HOU,0,115,4.0,26.0,26.0,23,14
HOU,1,115,4.25,25.625,25.625,40,14
HOU,1,99,4.555555555555555,27.22222222222222,27.22222222222222,33,14
HOU,1,110,4.777777777777778,28.11111111111111,27.8,34,14
MEM,1,108,4.666666666666667,27.77777777777778,28.363636363636363,32,16
MEM,1,98,5.111111111111111,28.88888888888889,28.666666666666668,18,16
MEM,1,101,5.0,27.88888888888889,27.846153846153847,33,16
MEM,0,89,5.222222222222222,29.444444444444443,28.214285714285715,23,16
MEM,0,90,5.222222222222222,29.11111111111111,27.866666666666667,19,16
MEM,1,101,5.111111111111111,28.33333333333333,27.3125,22,16
NOP,1,109,4.888888888888889,28.22222222222222,27.0,39,26
NOP,1,123,4.777777777777778,28.11111111111111,27.666666666666668,40,26
NOP,1,97,5.0,28.88888888888889,28.31578947368421,22,26
NOP,1,106,4.666666666666667,27.55555555555556,28.0,34,26
DEN,1,133,4.222222222222222,27.77777777777778,28.285714285714285,10,11
MEM,1,111,3.7777777777777777,26.88888888888889,27.454545454545453,15,16
MIN,1,110,3.6666666666666665,24.88888888888889,26.91304347826087,34,21
POR,1,116,4.0,26.11111111111111,27.20833333333333,45,29
NOP,0,100,4.666666666666667,29.0,27.92,25,26
SAS,0,92,4.777777777777778,29.33333333333333,27.807692307692307,24,6
DAL,1,123,4.666666666666667,27.666666666666668,27.666666666666668,11,13
PHX,1,107,4.0,24.444444444444443,27.071428571428573,28,4
LAC,1,110,4.333333333333333,25.11111111111111,27.103448275862068,27,15
MIL,1,108,4.333333333333333,24.33333333333333,27.1,25,2
MEM,1,107,4.777777777777778,26.0,27.032258064516128,38,16
POR,1,122,5.333333333333333,28.55555555555556,27.375,33,29
WSH,1,107,5.333333333333333,28.444444444444443,27.545454545454547,24,27
UTA,1,106,5.0,26.11111111111111,27.44117647058824,24,12
NOP,1,112,4.777777777777778,26.0,27.34285714285714,16,26
ATL,1,114,4.444444444444445,25.11111111111111,27.02777777777778,16,7
LAL,1,108,4.555555555555555,25.666666666666668,26.72972972972973,19,3
NYK,1,125,4.111111111111111,24.666666666666668,26.526315789473685,25,24
DET,1,105,4.333333333333333,24.444444444444443,26.487179487179485,9,9
PHX,1,98,3.7777777777777777,22.666666666666668,26.05,36,4
LAC,1,106,3.6666666666666665,22.444444444444443,26.29268292682927,12,15
DAL,1,104,3.333333333333333,20.11111111111111,25.952380952380956,22,13
MIL,1,102,3.333333333333333,19.88888888888889,25.86046511627907,19,2
BKN,0,108,3.6666666666666665,19.33333333333333,25.704545454545453,26,19
BOS,1,106,4.111111111111111,20.444444444444443,25.711111111111112,37,18
TOR,1,113,4.444444444444445,22.77777777777778,25.956521739130437,22,28
CLE,0,99,4.555555555555555,23.11111111111111,25.872340425531917,18,17
WSH,1,114,4.222222222222222,22.33333333333333,25.70833333333333,32,27
SAS,1,110,4.666666666666667,24.88888888888889,25.836734693877556,25,6
MIN,1,94,4.333333333333333,23.666666666666668,25.82,25,21
PHI,1,89,4.333333333333333,25.11111111111111,25.80392156862745,20,10
NYK,1,106,4.111111111111111,24.88888888888889,25.692307692307693,22,24
ATL,0,116,4.0,25.22222222222222,25.62264150943396,26,7
DAL,1,128,3.7777777777777777,25.22222222222222,25.62962962962963,51,13
SAC,1,121,4.333333333333333,26.77777777777778,26.09090909090909,23,8
PHX,1,106,4.222222222222222,26.88888888888889,26.035714285714285,25,4
UTA,0,100,4.333333333333333,27.666666666666668,26.017543859649123,32,12
CHI,0,111,4.333333333333333,27.666666666666668,26.120689655172413,21,5
BOS,1,114,4.111111111111111,27.22222222222222,26.033898305084747,22,18
SAC,1,126,4.0,26.88888888888889,25.966666666666665,10,8
HOU,1,126,3.888888888888889,25.77777777777778,25.704918032786885,22,14
DEN,1,122,3.6666666666666665,25.77777777777778,25.64516129032258,20,11
HOU,1,131,3.4444444444444446,25.11111111111111,25.55555555555556,27,14
OKC,0,115,2.555555555555556,22.444444444444443,25.578125,19,23
MIA,1,104,2.555555555555556,22.0,25.476923076923075,32,22
UTA,1,116,2.888888888888889,22.77777777777778,25.57575757575757,27,12
CLE,1,112,2.7777777777777777,22.22222222222222,25.59701492537313,23,17
IND,1,117,2.888888888888889,22.444444444444443,25.558823529411764,21,1
